Масхадов Аслан Алиевич; 21.09.1951; [[Главы Чечни после 1991 года;;
Список премьер-министров Фиджи;;;;
Кужель Александра Владимировна; 4.7.1953; Председатель Комитета Верховной Рады Украины по вопросам предпринимательства, регуляторной и антимонопольной политики; {{UKR}}; беспартийная
Добровольский Алексей Александрович; 13.10.1938;;; 
Антиох IV Эпифан; -215 ; Царь [[Государство Селевкидов;;
Сабуров Максим Захарович; 19.2.1900 (7); Первый заместитель Председателя Совета Министров СССР;; [[ВКП(б)]] с 1917 года.
Бисмарк Отто фон; 1.04.1815; [[рейхсканцлер]] [[Германская империя; [[Файл:Flag of the Kingdom of Prussia (1803-1892).svg;
Александр IV Македонский; -323; [[Македонские цари;;
Птолемей I Сотер; около [[367 год до н. э.; царь [[Эллинистический Египет;;
Акаев Аскар Акаевич; 10.11.1944; [[Президент Киргизии]];; [[Алга, Кыргызстан!]]
Хасдай ибн Шапрут; 915;;;
Бегалиев Сопубек Бегалиевич; 29.03.1931; государственный и общественный деятель [[Киргизия;;
Кокойты Эдуард Джабеевич; 31.10.1964 ; [[Президент Южной Осетии;; Юго-Осетинская Республиканская политическая партия "Единство" 
Орджоникидзе Григорий Константинович; 24.10.1886 (12.10); Член [[Политбюро ЦК ВКП(б)]];; [[РСДРП(б)]] с 1903 года
Константин I Великий; 27.2.272; [[Римский император]]      ;;
Жуков Георгий Константинович;1.12.1896 (19.11);[[Главы военного ведомства СССР;;[[Коммунистическая партия Советского Союза
Марк Лициний Красс; [[115 год до н. э.; ;; 
Евгения (императрица Франции); 5.5.1826; [[королева Франции;;
Стрешнева Евдокия Лукьяновна; 1608 ; [[Список супругов российских правителей;;
Лопухина Евдокия Фёдоровна; 10.7.1669 (30.6) ; [[Список супругов российских правителей;;
Магнус (король Ливонии); 26.8.1540; король [[Ливонское королевство;;
Морозов Сергей Иванович; 6.9.1959 ; Губернатор Ульяновской области ;;  
Жаботинский Владимир Евгеньевич; 18.10.1880 (6);;;
Кулов Феликс Шаршенбаевич; 29.10.1948; Премьер-министр Киргизии;; [[Ар-Намыс]] (с 1999)
Бакиев Курманбек Салиевич; 1.08.1949; [[президент Киргизии]]; {{Флаг Белоруссии; «[[Народное движение Кыргызстана]]» (с 2004)
Отунбаева Роза Исаковна; 23.8.1950; [[Список президентов Киргизии;; беспартийная
Жакиянов Галымжан Бадылжанович; 8.05.1963 ; [[Аким (чин);;
Старовойтова Галина Васильевна; 17.5.1946;;;
Фёдор III Алексеевич; 9.6.1661 (30.5); [[Русское царство;;
Берия Лаврентий Павлович; 29.3.1899(17); [[Государственный комитет обороны;; [[Российская социал-демократическая рабочая партия (большевиков)
Явлинский Григорий Алексеевич; 10.4.1952; Руководитель фракции [[Яблоко (фракция);; [[КПСС]] ([[1985]]—[[1991]]) <br />[[Яблоко (партия)
Громыко Андрей Андреевич; 18.7.1909 (5); [[Председатель Президиума Верховного Совета СССР]];; [[КПСС]] (с [[1931]])
Державин Гавриил Романович; 14.7.1743(3) ; 11-й [[Генерал-прокурор;;
Ипатов Павел Леонидович; 12.4.1950; [[губернатор]] [[Саратовская область;; [[Единая Россия]]
Танаев Николай Тимофеевич; 5.11.1945; Премьер-министр Киргизии;; 
Шереметев Борис Петрович; 05.05.1652 (25.04) ;;;
Шевелёв Андрей Владимирович; 24.5.1970 ; [[Губернатор]] [[Тверская область;; [[Единая Россия]] 
Лиманский Георгий Сергеевич; 27.5.1950; [[Руководители Самары;;
Масляков Виктор Николаевич; 9.2.1960; руководитель [[Федеральное агентство лесного хозяйства России;; «Единая Россия»
